address,amount
0x00BA3CA0B6Df1486c912893d9f288311A60ED753,153925766457737355509
0x00C67d9D6D3D13b42a87424E145826c467CcCd84,97655454981164837352
0x00f4996324943D7e8497ce6a1Cf88969a0B08A24,81829334609360173260
0x01e6fd0aE73D9194b19f9B376065577927A0D5f5,829219393732655120655
0x0252d89c8781b88858d5A2dbb8b9CF613f84917D,8518065596073825268
0x037dFD569DeFBC08aE28001159b4c49f6d006cfF,15413150919256797145
0x03C65618d9Ca830d9099B66bA6bd52A3B0344f82,14609264966891024192
0x0430605323465E26Dc21fBAaA9A1A4Be6ae9d496,100902572263969551622
0x05553bA4d6c81d877543A168E3238C07978Cc083,116810707734296709905
0x0810C422E4abD05c752618B403d26cf60bB50B5C,286569436491396036707
0x0C76E22f480c55f31bf6f937517Fca0f45804306,44515347825479033417
0x1146f36Cf74fBB2971DcDA652d0a3f4289a39d53,208075230452515140491
0x14B30b46ec4fA1a993806bd5Dda4195C5a82353e,13935732015797996702
0x16765c8Fe6Eb838CB8f64e425b6DcCab38D4F102,684730448560207327970
0x1754352eacb753327Fec2d4F48f0fb36B672C5e0,4091221386269891550795
0x17e33637f6B64E9082Ea499481b6e6EbAE7EEA23,858206613515340701831
0x18F23C3b96918518235136920F39Cb833B113F00,2496867007370882706
0x1959b5EFb8fdD52C688c1D685Ad8F3D82ea27B01,5112133135273938686
0x198ca1beaCF70b82c4e6dE21E8Cb7b6dA6D8477A,81802112463760526446
0x19a61e7238270CA99F931C08D7BcfF1984F38AE4,124552713463047455239
0x1A1087Bf077f74fb21fD838a8a25Cf9Fe0818450,94516090557295894238
0x1b50afeD405C9930eAe5fb3803418b03F9615B1C,116693570754985316980
0x1c1A631450FF768b6355180538a5C09Ee9774F34,40910168252005780561
0x1CA4C34b18ECF1df4bA7E2AE0EC1FC5960C349d9,302532067400680160724
0x1dE4F046c45Cd4E39cfCDF36b7DF4856B4031955,83150434312828253898
0x1Ec289BD5F002B7969887b8E18a1625052a67D0d,47356129087169804605
0x1f540E4D3211D393C31Fa343cFFD080D9B11b29e,47305014875955296207
0x2067BEd542762D26E2755Ce7d8776728F3429f48,27502915625555404771
0x21210E9f52300880E61D0fD0D08d1b882a6369f9,550058312511108095438
0x215C44804627920a72692b20c6DC80deBa946cF2,1551853470158046699720
0x21F35f686f4e907A1A46D67fE506E9f2a1ef64d0,4043653543164132351
0x22bE1f5e8544e71A390cED1b6a82b477b1127Ce5,15921437855634023822
0x22e81335f9D4A609DF42f56ba5B583f565995296,275032838176234269588
0x22Ef6D99F400cac50CEAb09e6ac3AE6882ba0B6c,880391103962388532424
0x2437Db820DE92d8DD64B524954fA0D160767c471,50727595365601296625
0x27E5E6074e259d98d6468454C32673E0e6f354ce,160299415003274277501
0x2b285e1B49bA0cB6f71D8b0D9cAFdFBf9868fDA9,256359482291128611979
0x2b614ecc9e91aF9D056EB8ACcCF5D9928A7cF4F7,57311407973317889213
0x2EC8db4C68717b9101578a3760cD70D859587b43,3221514967659244049
0x303e62Da5454c9932EFCBfE5002922f3A98F34a2,167260559021005484128
0x3070f20f86fDa706Ac380F5060D256028a46eC29,13719634675126168812
0x3170606aDd67Ee893d23E4aEe79c1A4997ce635a,213381204359530942183
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,137847111055246277641
0x32F41B50f8d569f22DFFeDc0F17210fb49350784,56454142158492708245
0x354D6F97482C3e533bbdd3AdF65570B3D172C9aD,61514213748682757594
0x39E856863e5F6f0654a0b87B12bc921DA23D06BB,34411642946674236798
0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6,608005598580750717086
0x3e541DE9da4dCC73c7Cfd225D4dA6f232D758393,144787447802870913232
0x40aED6E410a780154a4dCF62c37dD8Ba54F08FfE,165059683225902030622
0x4188c45B8dfC8998Ceee2398e746deC2797B0961,825087468766662143157
0x41c0F529F559c6A3ddc324Cd86A6D0c75b50c949,2191823958562762561
0x42556f667Dfc74704914F98d1e0c0aC4Ea2f492e,253393492626229628557
0x427197B1FB076c110f5d2bae24Fb05FED97C0456,57128984247535315839
0x4281579D99d855F2430C95a13720e53a0fCC0549,19433301584781984866279
0x4282Ec9835edad61b9A58Fa02b78369D0978C430,79248481110303382547
0x44aFfd16cc53Ffb96E40c3caeF33261600DeF1AA,87155779027276124790
0x461F635488972409981EDbD043834dbaA7239FA6,3300349875066648572628
0x477c8ece9393713D258169Aa50cDaF27E422214d,1044325571260005936996
0x4796E4aFD565e43B7267F1688ec09B6A246cB5fc,112506096823368354469
0x4929f4d38F2955649b5aa34343da04cf790B9D92,167826934976828864429
