address,amount
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,180229950027084965734
0x00BA3CA0B6Df1486c912893d9f288311A60ED753,824102229778173397141
0x00C67d9D6D3D13b42a87424E145826c467CcCd84,551132876788429106805
0x00f4996324943D7e8497ce6a1Cf88969a0B08A24,896264670706054281147
0x01298D8c3C581744A7985D91deA5FbCB9f4F58ec,0
0x01e6fd0aE73D9194b19f9B376065577927A0D5f5,1223634378771226392712
0x0252d89c8781b88858d5A2dbb8b9CF613f84917D,22026799164138432780
0x026247030937744C72544556faa78EDbEA487265,0
0x037dFD569DeFBC08aE28001159b4c49f6d006cfF,214362281845402049387
0x03C65618d9Ca830d9099B66bA6bd52A3B0344f82,42482014537767098657
0x0430605323465E26Dc21fBAaA9A1A4Be6ae9d496,272372809502152343939
0x05553bA4d6c81d877543A168E3238C07978Cc083,273120431282007254192
0x07619FBeC9132d12F81B8de9E6a82E6de2589765,197842512953899119931
0x0810C422E4abD05c752618B403d26cf60bB50B5C,756388575544607412354
0x086Da66f045EDC6238e762634680e2a4fd6ea17F,0
0x08B48e886349a289da156515083c119962395055,113264881124746891722
0x099b6EDe4689Ea0f6DAc5126BD96bbbC719a9389,5677243425853176420
0x0C76E22f480c55f31bf6f937517Fca0f45804306,228576521568036010538
0x0ccA4E5FD4f2Ec0beC7B246e1D1865524A49e1b9,0
0x0D3d681762f9eda9541faB6AcfB17c50025b630B,24728999890249355039
0x0d4b669675aF57C8dB631263731De924f45E895E,0
0x0dD16908663523E03C11C0dC14FA4276C1010a6b,0
0x0eb05D820690d5431e77Da717dB825aFD83C9077,0
0x0F045a0D77D24c326316E0315354E7Df28B4aC50,0
0x111cD92405B1Dfbd19882D361418F49D99d8FED8,139499113928804535328
0x1146f36Cf74fBB2971DcDA652d0a3f4289a39d53,285630027852751883276
0x124C5E21A073Fb4694308fBDF72aF362451EAe12,53638236038151423460
0x139776871Ee95f55d20b10d9Ba5a0385451066cd,63293592389666734715
0x14B30b46ec4fA1a993806bd5Dda4195C5a82353e,69354066643125484812
