voter,choice,proposal,created
0x4929f4d38F2955649b5aa34343da04cf790B9D92,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635162697
0x4929f4d38F2955649b5aa34343da04cf790B9D92,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635162678
0x4929f4d38F2955649b5aa34343da04cf790B9D92,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635162639
0x7763D4CE482C35B59AA0fc48Ae2EABd00F60b82e,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635161367
0x7763D4CE482C35B59AA0fc48Ae2EABd00F60b82e,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635161204
0x7763D4CE482C35B59AA0fc48Ae2EABd00F60b82e,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635161125
0x461F635488972409981EDbD043834dbaA7239FA6,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635159600
0x461F635488972409981EDbD043834dbaA7239FA6,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635159526
0x43079513eBD84AFb15BE79021C420Fe8055Bc635,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635156477
0x43079513eBD84AFb15BE79021C420Fe8055Bc635,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635156424
0x2346B18e56010272035e8eA7CF4C757Fc4E3f46a,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635156417
0x2346B18e56010272035e8eA7CF4C757Fc4E3f46a,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635156369
0x43079513eBD84AFb15BE79021C420Fe8055Bc635,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635156319
0xd39ce81CE8e7243494d4149d05dDDD536ddc2e55,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635156192
0xd39ce81CE8e7243494d4149d05dDDD536ddc2e55,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635156177
0x60ab39Aab2bCA84A9099CEBC89523C10FcBb12b0,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635154191
0x60ab39Aab2bCA84A9099CEBC89523C10FcBb12b0,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635154172
0x60ab39Aab2bCA84A9099CEBC89523C10FcBb12b0,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635154065
0x3e541DE9da4dCC73c7Cfd225D4dA6f232D758393,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635153365
0x3e541DE9da4dCC73c7Cfd225D4dA6f232D758393,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635153357
0x3e541DE9da4dCC73c7Cfd225D4dA6f232D758393,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635153309
0xfB1D7F6c700A053683f80447B387A891D5f76aaC,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635150124
0xfB1D7F6c700A053683f80447B387A891D5f76aaC,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635150110
0xfB1D7F6c700A053683f80447B387A891D5f76aaC,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635150062
0x4282Ec9835edad61b9A58Fa02b78369D0978C430,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635149570
0x4282Ec9835edad61b9A58Fa02b78369D0978C430,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635149497
0x42556f667Dfc74704914F98d1e0c0aC4Ea2f492e,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635149126
0x42556f667Dfc74704914F98d1e0c0aC4Ea2f492e,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635149035
0x42556f667Dfc74704914F98d1e0c0aC4Ea2f492e,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635149017
0xCA2fcDEFC09c1EaB0b91b66EbD3eB8401852fE5D,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635148837
0xCA2fcDEFC09c1EaB0b91b66EbD3eB8401852fE5D,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635148776
0x66d0E180af64fb368679F91765Affc99174396AC,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635148660
0x66d0E180af64fb368679F91765Affc99174396AC,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635148629
0x66d0E180af64fb368679F91765Affc99174396AC,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635148487
0xCA2fcDEFC09c1EaB0b91b66EbD3eB8401852fE5D,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635147102
0x519A0dF0Bd2b586b6F7126799c30A243E13ABCbe,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635143890
0x519A0dF0Bd2b586b6F7126799c30A243E13ABCbe,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635143848
0x519A0dF0Bd2b586b6F7126799c30A243E13ABCbe,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635143801
0xc6E4Ad3ccdfC65687D2d60a454a8bdDc1F4d6c06,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635142940
0xc6E4Ad3ccdfC65687D2d60a454a8bdDc1F4d6c06,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635142925
0xc6E4Ad3ccdfC65687D2d60a454a8bdDc1F4d6c06,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635142894
0x513AeDacE44cc9a0724CA276a8CeeeE950903576,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635135063
0x513AeDacE44cc9a0724CA276a8CeeeE950903576,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635134842
