address,slice_amount
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,3247646451821347055464
0x01298D8c3C581744A7985D91deA5FbCB9f4F58ec,505203382939950307119
0x139776871Ee95f55d20b10d9Ba5a0385451066cd,61185069131190851970
0x2459d93923CC940E3AA1935Ead83eF8011534BB1,6134697731098088413
0x280dEd1b7e430BeD0Cbb0Aace452Fd2ADEf2b581,20091217884351416373
0x2E6a4C895E3a466f86cc00d9f8B33A1eeCe3fc5a,45003435248968807057
0x3de51076B07cA102ABF377a0718Fb377669C9be0,1100538552906600827163
0x4059457092Cc3812d56676DF6A75fD21204Fbe2F,134937356958148919769
0x4e97DA0282BB922C4938bF6122F8e493D6FD6A20,37658873019896109742
0x4f38F2DA7720F1077A45b80E88c0A78C0144c136,14713848475098857868
0x555c929D0f0162B6A434d924865Cf10b667F98E2,96471609863981140284
0x56446712B219fcC34a5604f5E7AF5d50d65B6647,1900828364448376657
0x5976fec487B0640e97BB0Aa67a4AD81D76C6AA77,37741464748667967976
0x68F18759e83a21dA121E134949103bf5F0737073,8982982184086521209908
0x7136fbDdD4DFfa2369A9283B6E90A040318011Ca,2249552926287391117
0x73B3cE33d3750fcEe9aaB1200B80c5AA66B4b5fa,4384991685447940070
0x7558B9A644CcD3C815F7b717213Dff0B0a9b0f98,94312655856441800053
0x7bDb45b1fe5B3eB17a4C7a16C9750C7e10CcF08d,16677291210135135122001
0x852cFCA2F9DB0D9b2016C467BDb989C694f078F7,9941667968635836467
0x86CDf20021c2544D8e3d1843ccc5780344EB575F,7896057275500890692
0x9309026ae5f4c5ea1D6B5812C49C14DacB35211b,257794736661100130188
0x9cA10fe0cCc43d8464e91938E56411e6eCFb8e2d,169744775316337800441
0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791,12273745983237400049
0xAC60913f8E9821E9006507b05E1956f5A82749c1,162512784630964258065
0xAF312F43cbe83b44bEbAF47b203D6099BC73A84e,49120044379875913169
0xB4ADB7794432dAE7E78C2258fF350fBA88250C32,409122138626989154
0xBc4811f78DCb2AC60c026e871f697d87Fc36022b,23617140607825264384611
0xbC60AA031a9f34BD7992c99eaE5e2C4Dd1b5dBc3,3409351155223545884
0xbE8Fe12B9EB1CA2a593e6C070c71c294b6FE9f00,8601321365032486590903
0xc31dB4e4d5C2c803A3B1b3F484e248E70185D40d,8517434015535282846
0xc86A24B95E34ad68584cD8a3323f87d64F474225,38235988939523465883
0xce56D6b89aBa96C43E8FbF02C3BF34A751952c19,2045610693134945775397
0xD63E2Af499327DC60bB06948a9c1f72bE633a2B6,1892686296411131342
0xd7dEdcf8fFDDCEeD9aD20A41A5F88DC1268B3ad4,168692981475054032522
0xDE60d916a99D51C1bf58D36674492033Fe580BbB,253743785351654219076
0xEE5C256721Abe58Af6f582C0eFd6774Dd2765038,732787303175233071
0xf0754756E71aac7aD2B6497E7006F5E44D68D592,360669485417074578652
0xF16579B805fca520f06280AB2A539868D75dd01B,264927206203040187997
0xF7b8a7D68338f6B1d0EFa76eA5964042cbF16aBd,40475312330859153788
0xfDf7F859807d1dC73873640759b2706822802529,22721942787588901667
