voter,choice,created,proposal
0x2067BEd542762D26E2755Ce7d8776728F3429f48,1,1643665378,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x1CA4C34b18ECF1df4bA7E2AE0EC1FC5960C349d9,1,1643664294,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x58E603d9824976F7a3940C6B408F0Ffa523a216C,1,1643664233,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xa972691EF44eb3bad4a015399BA43a00EaD047f8,2,1643657944,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x5C7a20b1EFa9A2aB5F448b651Aa264F233076C4C,2,1643654781,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x2437Db820DE92d8DD64B524954fA0D160767c471,2,1643654072,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xD9A0013af48591f8524280D6f8f98189cef45308,1,1643653583,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xE26EDCA05417A65819295c49fC67272Ab247D791,1,1643653551,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xc1f480389B9B7c5471B48F910657F5e08687B763,1,1643653059,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x91B26b4B49525fDFfff2B099190149a52A36c3cA,2,1643651980,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xB6E994d559a13560343Ab6dFE58b4c46AeE8705f,1,1643649610,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xc4d6fdEA25346267441622FeB0e2618544Cef228,1,1643648519,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x22bE1f5e8544e71A390cED1b6a82b477b1127Ce5,1,1643646381,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x27E5E6074e259d98d6468454C32673E0e6f354ce,1,1643644802,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xF3DD72AC3c9833574491861793e8fFe1f07c8905,2,1643644581,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x0430605323465E26Dc21fBAaA9A1A4Be6ae9d496,2,1643643073,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x19a61e7238270CA99F931C08D7BcfF1984F38AE4,2,1643642856,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x215C44804627920a72692b20c6DC80deBa946cF2,2,1643639507,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x7Cfed2A2d4a98680daC6aA55120f5AF2EC562EbD,1,1643638791,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xab4382aAdae5bF4b37B90b9dc07FC72D52e2a28A,2,1643638244,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xA742A54E0b9Cd1Cac03c8F569bA4C606694261f9,1,1643638138,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xC9C03900134fa324422519852094792298c71825,2,1643633521,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x74C4623d7609F3eB2665aD32Ff96B44856b6051b,1,1643629784,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x5f73a24771940b8c80b3570694072f606DF913cc,1,1643629774,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xf15bDFf7a1f2F5D7C4f7cFdAbfB669Cb2630f86b,2,1643628469,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x4c32f7CE77908124862f59055Cdf1bda71861D5B,1,1643628180,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0xfB1D7F6c700A053683f80447B387A891D5f76aaC,1,1643628165,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x427197B1FB076c110f5d2bae24Fb05FED97C0456,1,1643627712,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
0x6593f0DC654597A5Bf2f78224FEEF81a545C1222,1,1643625329,"{'id': '0xb7288a01db911db9408c17afb3e7101e0f7434e684ca85c9cc02184306e483b4', 'title': 'Temperature check - Include PLAY in BCP', 'author': '0x5f73a24771940b8c80b3570694072f606DF913cc', 'created': 1643473395, 'start': 1643472000, 'end': 1643731200, 'choices': ['Yes, add PLAY to BCP', 'No, leave BCP as is for now']}"
