voter,choice,created,proposal
0x3070f20f86fDa706Ac380F5060D256028a46eC29,1,1669837834,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x7d0a2547b23e5F91F448bD9D2ae994748Af2C1E3,1,1669832662,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x71cfAfC5F334527Fd65821C0CbA69F000ad14F07,1,1669822305,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0xe5cD86ff7f825a0ff6f699828D5c9bf163C0e3F9,1,1669821203,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x6593f0DC654597A5Bf2f78224FEEF81a545C1222,1,1669819281,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x657340f8F3187bB251700edE07140aaA93C08c35,1,1669810481,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x7B79c37Bb80cc76Fe6b758c7140228FEcc7e2A2e,1,1669806438,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0xa18e1B9a277f8e09133CE6a0219B31d4B482A162,1,1669806184,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0xB0331b22161cA290A15f825A29C008dCB5e1ff68,1,1669796014,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x14B30b46ec4fA1a993806bd5Dda4195C5a82353e,1,1669783738,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x477c8ece9393713D258169Aa50cDaF27E422214d,1,1669782107,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x7ccf173012bfE53F16F4D6A2a4aea32abAfcD04C,1,1669781745,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0xC9C03900134fa324422519852094792298c71825,1,1669780907,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x1959b5EFb8fdD52C688c1D685Ad8F3D82ea27B01,1,1669772707,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6,1,1669756681,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0xC07EF9FDa2d42a7757172f6A7CDa2a63599591ED,1,1669748324,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0xcFF03aB20709c928d7478764473e386F7b23EDD1,2,1669747277,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x948FED1E5ea61971C9CcfC05688d6d7b25458581,1,1669746768,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x461F635488972409981EDbD043834dbaA7239FA6,1,1669742829,"{'id': '0x63cea594dceb8f8ffae3654a306a6791f60e15a6acae266ab4b71e8d6dff2b76', 'title': 'DOUGH burn proposal', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1669643881, 'start': 1669644000, 'end': 1670248740, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
