voter,choice,proposal,created
0xB05136FAcE3F8c6f9e6CDb076a38Ee6D4910f6d4,3,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635590553
0xB05136FAcE3F8c6f9e6CDb076a38Ee6D4910f6d4,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635590484
0xa00685C1e5dcC40Cf6b70f254C50A81774Da31dc,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635589328
0xAC3c2F091eDEA973F666173b3eBd242A80FE411c,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635582416
0xAC3c2F091eDEA973F666173b3eBd242A80FE411c,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635582383
0x4E7A35E672256F854D4e0a8851CD7965b8B53D67,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635575532
0x4E7A35E672256F854D4e0a8851CD7965b8B53D67,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635575529
0x5c2cF283C3baCB15b3137d5E8af30643b33189b0,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635575125
0x5c2cF283C3baCB15b3137d5E8af30643b33189b0,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635575005
0x4e4842749E799B384601489f1653213d86C31E1B,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635553237
0x56FcfEb7D7Afa46C9aA58F08a04Fbb11Eb27808C,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635547141
0x7917d37a540c6d26ffeEbD2dA51875ecb2568eA8,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635546912
0x7917d37a540c6d26ffeEbD2dA51875ecb2568eA8,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635546887
0x0ccA4E5FD4f2Ec0beC7B246e1D1865524A49e1b9,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635544408
0xc15c75955f49EC15A94E041624C227211810822D,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635537870
0xd5CBdcC1a7861CF886621162c20A72E9C4121038,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635535334
0xBa74e6E09B2Ae7470a67dceF71846216C83CF36F,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635533975
0xEB2109A191f3B552A38286781B501Cf16FB1b6b8,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635532761
0xc15c75955f49EC15A94E041624C227211810822D,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635531365
0xE9dF41eAD054F9a8E6Fe24A25071A3B571cB6446,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635530647
0xE9dF41eAD054F9a8E6Fe24A25071A3B571cB6446,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635529941
0xfB8aA192dA69DD3DE22a9354EA99538315446c0D,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635529703
0xfB8aA192dA69DD3DE22a9354EA99538315446c0D,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635529582
0x15579f74c1B93B573C0a4d865011EC68f909FD02,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635527976
0x15579f74c1B93B573C0a4d865011EC68f909FD02,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635527849
0xc4d6fdEA25346267441622FeB0e2618544Cef228,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635515042
0xc4d6fdEA25346267441622FeB0e2618544Cef228,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635514967
0xc4d6fdEA25346267441622FeB0e2618544Cef228,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635514806
0x3170606aDd67Ee893d23E4aEe79c1A4997ce635a,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635501903
0xe89dEe662C94FfEE76d0942f4a4bAD27cC076dd2,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635501626
0x6E1C5ACbAbaF0B3c73D4412c17C40D2F1D2e183b,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635500791
0x6E1C5ACbAbaF0B3c73D4412c17C40D2F1D2e183b,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635500761
0x6E1C5ACbAbaF0B3c73D4412c17C40D2F1D2e183b,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635500694
0xb11C0Ad983cf3c4912FD37809522A81aAaD3b1ee,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635498546
0xc6E4Ad3ccdfC65687D2d60a454a8bdDc1F4d6c06,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635492001
0xc6E4Ad3ccdfC65687D2d60a454a8bdDc1F4d6c06,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635491910
0xedf4FA418216A13E7629fED73e7448985CC8Bc82,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635482660
0x3070f20f86fDa706Ac380F5060D256028a46eC29,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635453994
0xCA2fcDEFC09c1EaB0b91b66EbD3eB8401852fE5D,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635449071
0xBa74e6E09B2Ae7470a67dceF71846216C83CF36F,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635441846
0x5c2cF283C3baCB15b3137d5E8af30643b33189b0,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635440236
0xEeaA36420519d85EfaB3b7120ac5Afa5a5825bFB,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635428313
0x976DcA1615502419B7003A1853E022b023d47Cf4,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635423388
0x976DcA1615502419B7003A1853E022b023d47Cf4,1,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635423353
0x976DcA1615502419B7003A1853E022b023d47Cf4,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635423301
0x2b614ecc9e91aF9D056EB8ACcCF5D9928A7cF4F7,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635417387
0x2b614ecc9e91aF9D056EB8ACcCF5D9928A7cF4F7,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635417365
0xE4014Fd584388AE6191Eb22E07811E1E5da9838b,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635415124
0x8aB9cFE91574ce10cbB16750e207EEBd89e56a83,1,{'id': 'QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK'},1635392883
0x8aB9cFE91574ce10cbB16750e207EEBd89e56a83,2,{'id': 'QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW'},1635392852
0x8aB9cFE91574ce10cbB16750e207EEBd89e56a83,1,{'id': 'QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc'},1635392802
