id,title,author,choices,created,start,end
QmRakdstZdU1Mx1vYhjon8tYnv5o1dkir8v3HDBmmnCGUc,[PIP-65] SLICE compounding to veDOUGH,0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791,"['Yes!', 'Nope']",1635035946,1635036300,1635721140
QmebDo3uTVJ5bHWgYhf7CvcK7by1da1WUX4jw5uX6M7EUW,[PIP-64] Initial Reward Pie composition,0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791,"['PLAY', 'BCP', 'An unmanaged mix of 15 assets']",1635033158,1635033600,1635721140
QmRkF9A2NigXcBBFfASnM7akNvAo6c9jgNxpt1faX6hvjK,Require at least 1 veDOUGH to create Snapshot proposals,0x22Ef6D99F400cac50CEAb09e6ac3AE6882ba0B6c,"['Yes at least 1 veDOUGH is needed', 'No veDOUGH should be required']",1634913891,1634914800,1635519600
