address,slice_amount
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,0
0x01298D8c3C581744A7985D91deA5FbCB9f4F58ec,0
0x026247030937744C72544556faa78EDbEA487265,300978105163167825913
0x086Da66f045EDC6238e762634680e2a4fd6ea17F,80541285148369083814
0x0ccA4E5FD4f2Ec0beC7B246e1D1865524A49e1b9,44693910620171757338
0x0d4b669675aF57C8dB631263731De924f45E895E,859726789880378663233
0x0eb05D820690d5431e77Da717dB825aFD83C9077,5119869402375965986
0x1d0dEC082d0e6F07dC34AA17C0B55D630f0704a5,7692800533668104847
0x1D40cF4C11BdC78515E121f694C479F1bdA4696d,40093560448826337959
0x2459d93923CC940E3AA1935Ead83eF8011534BB1,0
0x280dEd1b7e430BeD0Cbb0Aace452Fd2ADEf2b581,0
0x286Fa98383c81623D918ef58BA0A5EDe6EB67A54,18238374971011698759
0x2E6a4C895E3a466f86cc00d9f8B33A1eeCe3fc5a,0
0x30040b54554928929E94eD3f0b9282f666e950eD,580941714393615002626
0x3230a79C196958980f058D0DbD5e6A5Fd3EA1778,688280313210312175517
0x3de51076B07cA102ABF377a0718Fb377669C9be0,0
0x3e0cf03f718520F30300266dcF4DB50bA12d3331,731559511097247344442
0x4059457092Cc3812d56676DF6A75fD21204Fbe2F,0
0x4284E75CbEf8F56c185d6C3bDc81969Be0F664E5,75674154207077658472
0x43050429EA94452b611bF09013A246179DcB3c57,61028551550193691908
0x4E7A35E672256F854D4e0a8851CD7965b8B53D67,1525968116774305142
0x4e97DA0282BB922C4938bF6122F8e493D6FD6A20,0
0x4f38F2DA7720F1077A45b80E88c0A78C0144c136,0
0x51D679666D6A24653F1fAe57a8B1A04F69abAb99,44862674985867557702
0x555c929D0f0162B6A434d924865Cf10b667F98E2,0
0x56446712B219fcC34a5604f5E7AF5d50d65B6647,0
0x5909947Bace5Eb03280F3B9D198ce9Db26d94492,8633303405537368741
0x5976fec487B0640e97BB0Aa67a4AD81D76C6AA77,0
0x5999865518C9de250b820762130FF7A7119A4558,4413903453641332732
0x5E03b07aE157EE1CA5BF2F3CBE5BC8dc38F3e965,92206056571350431173
0x63d0333D160f9971FB898Df00627470Dd15c50a2,5867026314036789992
0x66300889AFb808626498c28e3811bb9B06A014aD,277808582795837802
0x6ADCF08deaAf5913079707f923279ef4c6D5225e,211033590619519261444
0x7136fbDdD4DFfa2369A9283B6E90A040318011Ca,0
0x73B3cE33d3750fcEe9aaB1200B80c5AA66B4b5fa,0
0x7558B9A644CcD3C815F7b717213Dff0B0a9b0f98,0
0x75Bf35F00D243c9f01a27eBAAFdBaE08b4e00b00,1469092176043206246
0x7ecF3a3ea7Cfd250dA7fc33d85bb2157706f247C,2587782767149691719
0x81aFcF6Dd79897cBa488471eCEc2f41BF3f7CA9B,18333496817759044360
0x86CDf20021c2544D8e3d1843ccc5780344EB575F,0
0x87616fA850c87a78f307878f32D808dad8f4d401,1409402662027022268176
0x8aB9cFE91574ce10cbB16750e207EEBd89e56a83,8402529312885517903
0x9309026ae5f4c5ea1D6B5812C49C14DacB35211b,0
0x9cA10fe0cCc43d8464e91938E56411e6eCFb8e2d,0
0xA5D348E0D34EA0B19B7EDafcb1aAfF0d9AB42336,24001471284695959068
0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791,0
0xAC60913f8E9821E9006507b05E1956f5A82749c1,0
0xacc33E6BD41D6003334149151d20931c4D449178,30068787075155704556
0xAF312F43cbe83b44bEbAF47b203D6099BC73A84e,0
0xB4ADB7794432dAE7E78C2258fF350fBA88250C32,0
0xBc4811f78DCb2AC60c026e871f697d87Fc36022b,0
0xbC60AA031a9f34BD7992c99eaE5e2C4Dd1b5dBc3,0
0xc31dB4e4d5C2c803A3B1b3F484e248E70185D40d,0
0xC43D49a247923F1C7837c806a1eEaa1891387f75,4533964864341719589087
0xC949c2f384f0E0fc848A41052E7D0c467Ca43D54,52562940888059309117
0xC9B7F801541f88aE2F62C4C0eED29949D057c951,553327637065698436611
0xd18a54f89603Fe4301b29EF6a8ab11b9Ba24f139,3893572008406233359
0xD63E2Af499327DC60bB06948a9c1f72bE633a2B6,0
0xD92684271447917b93623AD4107A246e9Bb181c8,19269345026088980075
0xDd956ab0f6020c2Be35be89C54Ba8841E290f778,1000487996351837333827
0xDDd0baC975c36b435Ea15d350A3036Ff7d604318,2577004948139163234506
0xDE60d916a99D51C1bf58D36674492033Fe580BbB,0
0xe7B15A2395d3a3073217F85367D16eED8C2539c9,312407802307742302799
0xe89dEe662C94FfEE76d0942f4a4bAD27cC076dd2,7898084150750616929
0xE9dF41eAD054F9a8E6Fe24A25071A3B571cB6446,5621357717622963157389
0xEE5C256721Abe58Af6f582C0eFd6774Dd2765038,0
0xf0754756E71aac7aD2B6497E7006F5E44D68D592,0
0xF16579B805fca520f06280AB2A539868D75dd01B,0
0xf195faA0602f8b6537a3aE6A30c4Ed618FDB21eD,98594889551643615849
0xF7b8a7D68338f6B1d0EFa76eA5964042cbF16aBd,0
0xFdE2805fde29D74b0A26Df96d473De328e16dbfB,12890495150507219968
0xfDf7F859807d1dC73873640759b2706822802529,0
