voter,choice,created,proposal
0xeeBfdF4cE58F4F5442495d7e474d5Da00AfF0f57,1,1656506939,"{'id': '0x211ad05fd86fc4ab178819b3df673b6346f0f85e3dc1efa89c5d4c172ab3f308', 'title': '[Gate 1] Change SLICE redemption asset to BCP', 'author': '0xa6D1FEda6fc70680816eF6A23faf5e454e2f9C09', 'created': 1655894776, 'start': 1655902800, 'end': 1656507600, 'choices': ['FOR (Change to BCP)', 'AGAINST (Keep PLAY)', 'MORE INFORMATION']}"
0x7B79c37Bb80cc76Fe6b758c7140228FEcc7e2A2e,1,1656506558,"{'id': '0x211ad05fd86fc4ab178819b3df673b6346f0f85e3dc1efa89c5d4c172ab3f308', 'title': '[Gate 1] Change SLICE redemption asset to BCP', 'author': '0xa6D1FEda6fc70680816eF6A23faf5e454e2f9C09', 'created': 1655894776, 'start': 1655902800, 'end': 1656507600, 'choices': ['FOR (Change to BCP)', 'AGAINST (Keep PLAY)', 'MORE INFORMATION']}"
0x796AC8a608b252284001Da660f397Df935d25233,1,1656502279,"{'id': '0x211ad05fd86fc4ab178819b3df673b6346f0f85e3dc1efa89c5d4c172ab3f308', 'title': '[Gate 1] Change SLICE redemption asset to BCP', 'author': '0xa6D1FEda6fc70680816eF6A23faf5e454e2f9C09', 'created': 1655894776, 'start': 1655902800, 'end': 1656507600, 'choices': ['FOR (Change to BCP)', 'AGAINST (Keep PLAY)', 'MORE INFORMATION']}"
0x1Ec289BD5F002B7969887b8E18a1625052a67D0d,1,1656501539,"{'id': '0x211ad05fd86fc4ab178819b3df673b6346f0f85e3dc1efa89c5d4c172ab3f308', 'title': '[Gate 1] Change SLICE redemption asset to BCP', 'author': '0xa6D1FEda6fc70680816eF6A23faf5e454e2f9C09', 'created': 1655894776, 'start': 1655902800, 'end': 1656507600, 'choices': ['FOR (Change to BCP)', 'AGAINST (Keep PLAY)', 'MORE INFORMATION']}"
0xB6E994d559a13560343Ab6dFE58b4c46AeE8705f,1,1656497533,"{'id': '0x211ad05fd86fc4ab178819b3df673b6346f0f85e3dc1efa89c5d4c172ab3f308', 'title': '[Gate 1] Change SLICE redemption asset to BCP', 'author': '0xa6D1FEda6fc70680816eF6A23faf5e454e2f9C09', 'created': 1655894776, 'start': 1655902800, 'end': 1656507600, 'choices': ['FOR (Change to BCP)', 'AGAINST (Keep PLAY)', 'MORE INFORMATION']}"
0xb11C0Ad983cf3c4912FD37809522A81aAaD3b1ee,1,1656497316,"{'id': '0x211ad05fd86fc4ab178819b3df673b6346f0f85e3dc1efa89c5d4c172ab3f308', 'title': '[Gate 1] Change SLICE redemption asset to BCP', 'author': '0xa6D1FEda6fc70680816eF6A23faf5e454e2f9C09', 'created': 1655894776, 'start': 1655902800, 'end': 1656507600, 'choices': ['FOR (Change to BCP)', 'AGAINST (Keep PLAY)', 'MORE INFORMATION']}"
0x8410373DF6E9b20765c9599c26d585B2cd0Ef628,1,1656491973,"{'id': '0x211ad05fd86fc4ab178819b3df673b6346f0f85e3dc1efa89c5d4c172ab3f308', 'title': '[Gate 1] Change SLICE redemption asset to BCP', 'author': '0xa6D1FEda6fc70680816eF6A23faf5e454e2f9C09', 'created': 1655894776, 'start': 1655902800, 'end': 1656507600, 'choices': ['FOR (Change to BCP)', 'AGAINST (Keep PLAY)', 'MORE INFORMATION']}"
0x66d0E180af64fb368679F91765Affc99174396AC,1,1656485818,"{'id': '0x211ad05fd86fc4ab178819b3df673b6346f0f85e3dc1efa89c5d4c172ab3f308', 'title': '[Gate 1] Change SLICE redemption asset to BCP', 'author': '0xa6D1FEda6fc70680816eF6A23faf5e454e2f9C09', 'created': 1655894776, 'start': 1655902800, 'end': 1656507600, 'choices': ['FOR (Change to BCP)', 'AGAINST (Keep PLAY)', 'MORE INFORMATION']}"
0x8a1ec127978bCC7499b2A188Df2Bd1810F522Ac7,1,1656485491,"{'id': '0x211ad05fd86fc4ab178819b3df673b6346f0f85e3dc1efa89c5d4c172ab3f308', 'title': '[Gate 1] Change SLICE redemption asset to BCP', 'author': '0xa6D1FEda6fc70680816eF6A23faf5e454e2f9C09', 'created': 1655894776, 'start': 1655902800, 'end': 1656507600, 'choices': ['FOR (Change to BCP)', 'AGAINST (Keep PLAY)', 'MORE INFORMATION']}"
0x5c2cF283C3baCB15b3137d5E8af30643b33189b0,1,1656482505,"{'id': '0x211ad05fd86fc4ab178819b3df673b6346f0f85e3dc1efa89c5d4c172ab3f308', 'title': '[Gate 1] Change SLICE redemption asset to BCP', 'author': '0xa6D1FEda6fc70680816eF6A23faf5e454e2f9C09', 'created': 1655894776, 'start': 1655902800, 'end': 1656507600, 'choices': ['FOR (Change to BCP)', 'AGAINST (Keep PLAY)', 'MORE INFORMATION']}"
