address,slice_amount
0x0000000000000000000000000000000000000000,0
0x01298D8c3C581744A7985D91deA5FbCB9f4F58ec,0
0x026247030937744C72544556faa78EDbEA487265,0
0x086Da66f045EDC6238e762634680e2a4fd6ea17F,0
0x08B48e886349a289da156515083c119962395055,0
0x0ccA4E5FD4f2Ec0beC7B246e1D1865524A49e1b9,0
0x0D3d681762f9eda9541faB6AcfB17c50025b630B,0
0x0d4b669675aF57C8dB631263731De924f45E895E,0
0x0eb05D820690d5431e77Da717dB825aFD83C9077,0
0x0F045a0D77D24c326316E0315354E7Df28B4aC50,0
0x181cA3bAf264B228bd39434f8E080033Bd1E1201,0
0x1a6db538813Dbfa63E1F19f8804447187B7D401d,2294026145807188724533
0x1d0dEC082d0e6F07dC34AA17C0B55D630f0704a5,0
0x1D40cF4C11BdC78515E121f694C479F1bdA4696d,0
0x215C44804627920a72692b20c6DC80deBa946cF2,0
0x22Ef6D99F400cac50CEAb09e6ac3AE6882ba0B6c,0
0x246BC9695D9CDca034D648EC1Db3C1e74F0A6CaC,567210136914585572160
0x28579946078515C7C6abcc57F3e1088fbF63B0d5,0
0x286Fa98383c81623D918ef58BA0A5EDe6EB67A54,0
0x2E6a4C895E3a466f86cc00d9f8B33A1eeCe3fc5a,0
0x2EC8db4C68717b9101578a3760cD70D859587b43,0
0x30040b54554928929E94eD3f0b9282f666e950eD,0
0x3006ef6777ccC79C3aF305101Fe0B3D14bd47b59,0
0x354D6F97482C3e533bbdd3AdF65570B3D172C9aD,66552069366952420568
0x386e96E10447095A99B919DefC955C6D4835C279,0
0x39823aFE1590DbFA8091bE5f435853Cd73c41ae7,0
0x3de51076B07cA102ABF377a0718Fb377669C9be0,0
0x3e0cf03f718520F30300266dcF4DB50bA12d3331,0
0x3F3dEDd362020a229CcA78D19d535D6971fD667e,0
0x41c0F529F559c6A3ddc324Cd86A6D0c75b50c949,0
0x4284E75CbEf8F56c185d6C3bDc81969Be0F664E5,0
0x42b23bB838525D458F2B8109219eF45d229067B7,652413436687164002170
0x43050429EA94452b611bF09013A246179DcB3c57,0
0x43499038911cB4753595BbcD17170DC50123773D,785281985844635743
0x4A1c900Ee1042dC2BA405821F0ea13CfBADCAb7B,0
0x4E62CF78dA0c0D97D06BA0b3E26cF695bbBc75b5,0
0x4E7A35E672256F854D4e0a8851CD7965b8B53D67,0
0x4e97DA0282BB922C4938bF6122F8e493D6FD6A20,0
0x51D679666D6A24653F1fAe57a8B1A04F69abAb99,0
0x555c929D0f0162B6A434d924865Cf10b667F98E2,0
0x56446712B219fcC34a5604f5E7AF5d50d65B6647,0
0x58A7049694AB77d9e0B6ac36f8045e085781B480,0
0x5909947Bace5Eb03280F3B9D198ce9Db26d94492,0
0x5976fec487B0640e97BB0Aa67a4AD81D76C6AA77,0
0x5999865518C9de250b820762130FF7A7119A4558,0
0x59AB3cb9CA8B7910Ba2D137A138B69bbF85bDf28,0
0x62373a7d753ECea3Eef5d2EdCD8C4bE4E40CE0f9,0
0x63d0333D160f9971FB898Df00627470Dd15c50a2,0
0x648E180e246741363639B1496762763dd25649db,0
0x66300889AFb808626498c28e3811bb9B06A014aD,0
0x668bfb5ecD91dd69E04200adA34162a19D23E033,0
0x67BC76E8Fd78CC59594C9F43C643eA7CAfA48669,0
0x691fA5626fafF0DaAddd416035bADA13aC88FB61,0
0x6a1a3eCd04DF0fF2d7cb25584052CDD173fC609B,0
0x6A5170a1987eeC647868B6B71C550063f2a4779C,0
0x6Aa7EE5B0e557d50382A6d18B5e5f0c7eECBFfb4,0
0x6AD7baBfdC153ec9dDC78b49523f33FFaD4f3631,0
0x6ADCF08deaAf5913079707f923279ef4c6D5225e,0
0x6c064fB0B9956b111fDCFE4297c03C980DD7730C,0
0x6D8804c4B0c246d076dC27A5D6127Bd2C8BCE219,22749996200530952275
0x6E1C5ACbAbaF0B3c73D4412c17C40D2F1D2e183b,0
0x7091de9A5435dbA7F051045d64c5ef56bD96064e,0
0x7136fbDdD4DFfa2369A9283B6E90A040318011Ca,0
0x73B3cE33d3750fcEe9aaB1200B80c5AA66B4b5fa,0
0x73FdDe9A7973f8De25c0ecE9D158E1b529C3939d,0
0x7558B9A644CcD3C815F7b717213Dff0B0a9b0f98,0
0x75Bf35F00D243c9f01a27eBAAFdBaE08b4e00b00,0
0x762c33949E6aa8029AC122f983DE675233d446B4,0
0x76809DEB9333B256398f04e9b06759d3f55944cb,0
0x7763D4CE482C35B59AA0fc48Ae2EABd00F60b82e,806456446383904697420
0x7917d37a540c6d26ffeEbD2dA51875ecb2568eA8,2352235068217518356584
0x7bDb45b1fe5B3eB17a4C7a16C9750C7e10CcF08d,11636136180627304233912
0x827eA2C64d3f5093F632ab6DaA94EE8d7eEe0686,0
0x86CDf20021c2544D8e3d1843ccc5780344EB575F,0
0x8703BDb1b413060a13c2f4712A30ADC86B34f7Ce,0
0x884999214c56091853765B9D4323Cf8BB9f7E699,0
0x8aB9cFE91574ce10cbB16750e207EEBd89e56a83,0
0x9128D7a95b7811af2da2cEd9116b04C78792b84F,0
0x9309026ae5f4c5ea1D6B5812C49C14DacB35211b,0
0x9575E331988058247F27ffcd1B9620F10DF028A8,0
0x9C1296098183Aa5a16bFb61c2a41FB78e31Af721,137306056748701723909
0x9cA10fe0cCc43d8464e91938E56411e6eCFb8e2d,0
