voter,choice,created,proposal
0x00BA3CA0B6Df1486c912893d9f288311A60ED753,1,1658311239,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0xf5Ae0Fc9CFCa106C370CA385AB8A9c42DDf19AcC,2,1658305126,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0x18F23C3b96918518235136920F39Cb833B113F00,1,1658296173,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0x44aFfd16cc53Ffb96E40c3caeF33261600DeF1AA,1,1658295054,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0xFd28D67eD154B734257276e5d090721434bd51A4,3,1658273472,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0xa2f696958A5e023014620687f1D34755c707E5D1,1,1658267777,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0x887C3599c4826F7b3cDe82003b894430F27d5b92,2,1658262593,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0xEDDb8B0C46193cAEa0c2b453fb1e256AB68826Df,1,1658260532,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0x19a61e7238270CA99F931C08D7BcfF1984F38AE4,3,1658259298,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0x21F35f686f4e907A1A46D67fE506E9f2a1ef64d0,2,1658258501,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0xF3D9281fa183B74F32B96E1c5244596045f4edE8,1,1658251274,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0xdb4D88080ED478c729B07E23f8e0ccD1f57D3f9B,1,1658245369,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
0xd0d51Df159971CEEF5B77067237d25B8C8ec4B21,1,1658241887,"{'id': '0x1f616f6821ff97fdb12660f80d3554e79e9839181a83060551da493bcdc12d12', 'title': '[Gate 1] Add $APE to $PLAY ', 'author': '0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6', 'created': 1657703953, 'start': 1657710000, 'end': 1658314800, 'choices': ['FOR', 'AGAINST', 'Would like more information ']}"
