voter,choice,created,proposal
0x74C4623d7609F3eB2665aD32Ff96B44856b6051b,2,1661595036,"{'id': '0x7ea88f6bc39157a063c37123e6be035ab358640a1c53d140eed454ca5a569d69', 'title': '[Gate 1] Implement Front-end sanctions screening tool', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1660998153, 'start': 1660998152, 'end': 1661601600, 'choices': ['FOR', 'AGAINST', 'Detail More']}"
0xD5a7412e7f78E03E6Fb2bd133F6473bfe8a45eB8,1,1661570496,"{'id': '0x7ea88f6bc39157a063c37123e6be035ab358640a1c53d140eed454ca5a569d69', 'title': '[Gate 1] Implement Front-end sanctions screening tool', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1660998153, 'start': 1660998152, 'end': 1661601600, 'choices': ['FOR', 'AGAINST', 'Detail More']}"
0x7B79c37Bb80cc76Fe6b758c7140228FEcc7e2A2e,1,1661567494,"{'id': '0x7ea88f6bc39157a063c37123e6be035ab358640a1c53d140eed454ca5a569d69', 'title': '[Gate 1] Implement Front-end sanctions screening tool', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1660998153, 'start': 1660998152, 'end': 1661601600, 'choices': ['FOR', 'AGAINST', 'Detail More']}"
0x7Cfed2A2d4a98680daC6aA55120f5AF2EC562EbD,2,1661552370,"{'id': '0x7ea88f6bc39157a063c37123e6be035ab358640a1c53d140eed454ca5a569d69', 'title': '[Gate 1] Implement Front-end sanctions screening tool', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1660998153, 'start': 1660998152, 'end': 1661601600, 'choices': ['FOR', 'AGAINST', 'Detail More']}"
0x3704fa506D4A38199e7Aa1BbeA7d55846CA35fbe,2,1661532474,"{'id': '0x7ea88f6bc39157a063c37123e6be035ab358640a1c53d140eed454ca5a569d69', 'title': '[Gate 1] Implement Front-end sanctions screening tool', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1660998153, 'start': 1660998152, 'end': 1661601600, 'choices': ['FOR', 'AGAINST', 'Detail More']}"
0xc4d6fdEA25346267441622FeB0e2618544Cef228,1,1661523070,"{'id': '0x7ea88f6bc39157a063c37123e6be035ab358640a1c53d140eed454ca5a569d69', 'title': '[Gate 1] Implement Front-end sanctions screening tool', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1660998153, 'start': 1660998152, 'end': 1661601600, 'choices': ['FOR', 'AGAINST', 'Detail More']}"
0x81aFcF6Dd79897cBa488471eCEc2f41BF3f7CA9B,2,1661520792,"{'id': '0x7ea88f6bc39157a063c37123e6be035ab358640a1c53d140eed454ca5a569d69', 'title': '[Gate 1] Implement Front-end sanctions screening tool', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1660998153, 'start': 1660998152, 'end': 1661601600, 'choices': ['FOR', 'AGAINST', 'Detail More']}"
0xefE7a2bbe01adc090AB28eD422a359b553aAbC16,2,1661517770,"{'id': '0x7ea88f6bc39157a063c37123e6be035ab358640a1c53d140eed454ca5a569d69', 'title': '[Gate 1] Implement Front-end sanctions screening tool', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1660998153, 'start': 1660998152, 'end': 1661601600, 'choices': ['FOR', 'AGAINST', 'Detail More']}"
0xE5A3D77D7788A83f3549dD7F08Fc2aCed7E262d2,3,1661516867,"{'id': '0x7ea88f6bc39157a063c37123e6be035ab358640a1c53d140eed454ca5a569d69', 'title': '[Gate 1] Implement Front-end sanctions screening tool', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1660998153, 'start': 1660998152, 'end': 1661601600, 'choices': ['FOR', 'AGAINST', 'Detail More']}"
0x84bcfa8Fe160b271dc49B1Fb263ad995e0C2c1dF,2,1661511929,"{'id': '0x7ea88f6bc39157a063c37123e6be035ab358640a1c53d140eed454ca5a569d69', 'title': '[Gate 1] Implement Front-end sanctions screening tool', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1660998153, 'start': 1660998152, 'end': 1661601600, 'choices': ['FOR', 'AGAINST', 'Detail More']}"
