address,balance
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,17000000000000000000000
0x00BA3CA0B6Df1486c912893d9f288311A60ED753,27983536100934556390767
0x00C67d9D6D3D13b42a87424E145826c467CcCd84,17753654978024306179980
0x01298D8c3C581744A7985D91deA5FbCB9f4F58ec,12348473358968280013601
0x01e6fd0aE73D9194b19f9B376065577927A0D5f5,4255696557597602967981
0x0252d89c8781b88858d5A2dbb8b9CF613f84917D,1357262911640708000000
0x037dFD569DeFBC08aE28001159b4c49f6d006cfF,2048950000000000000000
0x0430605323465E26Dc21fBAaA9A1A4Be6ae9d496,459961897570421022603
0x05553bA4d6c81d877543A168E3238C07978Cc083,2855154896440280000000
0x0810C422E4abD05c752618B403d26cf60bB50B5C,35431350333333330000000
0x08B48e886349a289da156515083c119962395055,460830000000000000000
0x0C76E22f480c55f31bf6f937517Fca0f45804306,7531630044552348094158
0x0ccA4E5FD4f2Ec0beC7B246e1D1865524A49e1b9,219666666666578800000
0x0d4b669675aF57C8dB631263731De924f45E895E,16118889165467724389059
0x0eb05D820690d5431e77Da717dB825aFD83C9077,95991666666628270000
0x111cD92405B1Dfbd19882D361418F49D99d8FED8,14000000000000000000000
0x1146f36Cf74fBB2971DcDA652d0a3f4289a39d53,1416616666666500000000
0x139776871Ee95f55d20b10d9Ba5a0385451066cd,1495520856840636576045
0x14B30b46ec4fA1a993806bd5Dda4195C5a82353e,2257924740051602000000
0x15579f74c1B93B573C0a4d865011EC68f909FD02,2534391751715316101211
0x16765c8Fe6Eb838CB8f64e425b6DcCab38D4F102,124483247136889620238994
0x1754352eacb753327Fec2d4F48f0fb36B672C5e0,100000000000000000000000
0x17e33637f6B64E9082Ea499481b6e6EbAE7EEA23,156021024316037354229890
0x18F23C3b96918518235136920F39Cb833B113F00,13070000000000000000
0x1959b5EFb8fdD52C688c1D685Ad8F3D82ea27B01,929380216424000000000
0x198ca1beaCF70b82c4e6dE21E8Cb7b6dA6D8477A,14871534636086166261794
0x19a61e7238270CA99F931C08D7BcfF1984F38AE4,20702299863195554668649
0x19dd92C9A9c4Eb6f0426846C4F8a071A7b79209A,2543080000000000000000
0x1A1087Bf077f74fb21fD838a8a25Cf9Fe0818450,2310216965390609000000
0x1b50afeD405C9930eAe5fb3803418b03F9615B1C,19368608112696011720604
0x1c1A631450FF768b6355180538a5C09Ee9774F34,999950000000000000000
0x1CA4C34b18ECF1df4bA7E2AE0EC1FC5960C349d9,53746488056069684448259
0x1D40cF4C11BdC78515E121f694C479F1bdA4696d,197056347416904929823
0x1dE4F046c45Cd4E39cfCDF36b7DF4856B4031955,9761812579520341259616
0x1Ec289BD5F002B7969887b8E18a1625052a67D0d,7176200531186643289792
0x1f540E4D3211D393C31Fa343cFFD080D9B11b29e,8600000000000000000000
0x1F9b4F7A0605E4574562938CBdBFdFfe8605d4E2,6200000000000000000000
0x2067BEd542762D26E2755Ce7d8776728F3429f48,5000000000000000000000
0x21210E9f52300880E61D0fD0D08d1b882a6369f9,100000000000000000000000
0x215C44804627920a72692b20c6DC80deBa946cF2,8123270000000000000000
0x21F35f686f4e907A1A46D67fE506E9f2a1ef64d0,735131794428154053170
0x22bE1f5e8544e71A390cED1b6a82b477b1127Ce5,2894500000000000000000
0x22e81335f9D4A609DF42f56ba5B583f565995296,50000669369155319785296
0x22Ef6D99F400cac50CEAb09e6ac3AE6882ba0B6c,4608460000000000000000
0x2346B18e56010272035e8eA7CF4C757Fc4E3f46a,9210367330996266174443
0x2437Db820DE92d8DD64B524954fA0D160767c471,7920609246843822849156
0x2459d93923CC940E3AA1935Ead83eF8011534BB1,149947831023911055769
0x27E5E6074e259d98d6468454C32673E0e6f354ce,3918131038844241436482
0x280dEd1b7e430BeD0Cbb0Aace452Fd2ADEf2b581,491081170815575849823
0x28579946078515C7C6abcc57F3e1088fbF63B0d5,115239400000000000000
0x2b285e1B49bA0cB6f71D8b0D9cAFdFBf9868fDA9,40464580402171082201086
0x2b614ecc9e91aF9D056EB8ACcCF5D9928A7cF4F7,300000000000000000000
0x2E6a4C895E3a466f86cc00d9f8B33A1eeCe3fc5a,1100000000000000000000
0x2eA8E4c3768FDb6677548F8AF2FfDAA0BaC630BA,1297570000000000000000
0x2EC8db4C68717b9101578a3760cD70D859587b43,585667900000000000000
0x30040b54554928929E94eD3f0b9282f666e950eD,10891989427490564013763
0x303e62Da5454c9932EFCBfE5002922f3A98F34a2,875535420969988703437
0x3070f20f86fDa706Ac380F5060D256028a46eC29,1000000000000000000000
0x3170606aDd67Ee893d23E4aEe79c1A4997ce635a,1116956703238944071208
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,25060454122754946727551
0x32F41B50f8d569f22DFFeDc0F17210fb49350784,6958668875057823456632
0x354D6F97482C3e533bbdd3AdF65570B3D172C9aD,1503566000000000000000
0x39C0b762b3A5c1a73f015e4F2652c2c4eD0F79f1,206261034694104075571
0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6,3243532387793329739352
0x3de51076B07cA102ABF377a0718Fb377669C9be0,26900000000000000000000
0x3e0cf03f718520F30300266dcF4DB50bA12d3331,13715900000000000000000
