voter,choice,proposal,created
0xE70CfdB698Dde588c398Afc0563EbF5616aD33B2,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638200555
0x0252d89c8781b88858d5A2dbb8b9CF613f84917D,1,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638199364
0x19dd92C9A9c4Eb6f0426846C4F8a071A7b79209A,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638194104
0x19dd92C9A9c4Eb6f0426846C4F8a071A7b79209A,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638194012
0x461F635488972409981EDbD043834dbaA7239FA6,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638188764
0x5e01f5ce73fcB34B51592F4138A38c7d51e10362,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638185954
0x80FDc30D21A672EeF723b809Ed4ba7c91728D421,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638182248
0x80FDc30D21A672EeF723b809Ed4ba7c91728D421,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638182113
0x8a1ec127978bCC7499b2A188Df2Bd1810F522Ac7,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638181907
0x8a1ec127978bCC7499b2A188Df2Bd1810F522Ac7,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638181783
0x519A0dF0Bd2b586b6F7126799c30A243E13ABCbe,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638180072
0x519A0dF0Bd2b586b6F7126799c30A243E13ABCbe,3,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638180000
0x5dA68351bD082aBDA73E42Ac981dB51d9364fe69,3,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638177597
0x5dA68351bD082aBDA73E42Ac981dB51d9364fe69,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638177217
0x8410373DF6E9b20765c9599c26d585B2cd0Ef628,1,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638176054
0x8410373DF6E9b20765c9599c26d585B2cd0Ef628,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638175972
0x8410373DF6E9b20765c9599c26d585B2cd0Ef628,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638175857
0x9A456152E0Da127C30a49357A461f4c3F80bd630,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638171716
0xc6E4Ad3ccdfC65687D2d60a454a8bdDc1F4d6c06,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638171294
0xc6E4Ad3ccdfC65687D2d60a454a8bdDc1F4d6c06,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638171224
0xAB14a078201f92918674206bFd803F34b9C1a0Bb,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638169871
0xeC5c16f3EAF86a801a3E89201DD39bDDD1786cBF,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638169696
0xAB14a078201f92918674206bFd803F34b9C1a0Bb,2,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638169593
0xeC5c16f3EAF86a801a3E89201DD39bDDD1786cBF,2,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638169306
0xAB14a078201f92918674206bFd803F34b9C1a0Bb,3,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638165170
0x0430605323465E26Dc21fBAaA9A1A4Be6ae9d496,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638164541
0x5c2cF283C3baCB15b3137d5E8af30643b33189b0,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638164399
0xC3598d91844B061195136600AD243b077Cc164e2,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638163900
0xC3598d91844B061195136600AD243b077Cc164e2,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638163861
0x64B7fcC8C17540139BDd84d00c7261035602Cb66,1,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638160535
0x58E603d9824976F7a3940C6B408F0Ffa523a216C,2,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638152384
0x21F35f686f4e907A1A46D67fE506E9f2a1ef64d0,2,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638145255
0x21F35f686f4e907A1A46D67fE506E9f2a1ef64d0,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638145186
0x668bfb5ecD91dd69E04200adA34162a19D23E033,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638142054
0xB6E994d559a13560343Ab6dFE58b4c46AeE8705f,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638140161
0x2b614ecc9e91aF9D056EB8ACcCF5D9928A7cF4F7,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638136564
0x43079513eBD84AFb15BE79021C420Fe8055Bc635,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638132224
0xc4d6fdEA25346267441622FeB0e2618544Cef228,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638130052
0xEBFb007AC8E6239bAEe43d4812e0373783e0D34F,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638126299
0xEBFb007AC8E6239bAEe43d4812e0373783e0D34F,2,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638126010
0xB478d2e5D241683667e15c9c79a2Bc0e5aF35923,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638123929
0x00BA3CA0B6Df1486c912893d9f288311A60ED753,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638114189
0xd27d90b337717Fd91C4D409F712B890D4eE2FdD6,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638113580
0xCaB5541bad35e9ee799BeA9765C3c416D8Cc1Bb8,6,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638111103
0xDb8D484c46cE6B0bd00f38a51b299EB129928AC0,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638110282
0xDb8D484c46cE6B0bd00f38a51b299EB129928AC0,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638110178
0xb11C0Ad983cf3c4912FD37809522A81aAaD3b1ee,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638108357
0xb11C0Ad983cf3c4912FD37809522A81aAaD3b1ee,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638108242
0x3e541DE9da4dCC73c7Cfd225D4dA6f232D758393,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638108213
0x8f9f865Aafd6487C7aC45a22bbb9278f8fc06d47,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638107824
0x8f9f865Aafd6487C7aC45a22bbb9278f8fc06d47,3,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638107396
0x8f9f865Aafd6487C7aC45a22bbb9278f8fc06d47,2,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638107283
0xc1f480389B9B7c5471B48F910657F5e08687B763,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638107085
0x00C67d9D6D3D13b42a87424E145826c467CcCd84,1,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638106214
0xb3a7FBC2fa38C18ad4433aE93FE7F215Fd2D057f,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638104406
0xb3a7FBC2fa38C18ad4433aE93FE7F215Fd2D057f,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638104092
0xdC6CE98A9020905973C9C026c6f3e34df9998D8A,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638100530
0x4c32f7CE77908124862f59055Cdf1bda71861D5B,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638098542
0xd98cB41e6878A67732f5821c6EFe703aA5C3D65a,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638098399
0xd98cB41e6878A67732f5821c6EFe703aA5C3D65a,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638098202
0xab4382aAdae5bF4b37B90b9dc07FC72D52e2a28A,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638092963
0x4929f4d38F2955649b5aa34343da04cf790B9D92,1,{'id': '0xf7288032b188846066065a6d7daad9e6f5ef3770691215bc41b6478e2b3563be'},1638090311
0x4929f4d38F2955649b5aa34343da04cf790B9D92,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638088760
0x52876dAFDc67238390477Bb2403BdC8021944ddc,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638087203
0x8fe4e9F56152Cece6771Fd01A1ef596cAEC3EDBf,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638083550
0x8fe4e9F56152Cece6771Fd01A1ef596cAEC3EDBf,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638083443
0x9064Fe489B444393EA2Ae8d24FE21f00557b3eAb,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638079130
0x22bE1f5e8544e71A390cED1b6a82b477b1127Ce5,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638068751
0x22bE1f5e8544e71A390cED1b6a82b477b1127Ce5,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638068443
0x4D04EB67A2D1e01c71FAd0366E0C200207A75487,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638065140
0x7Cfed2A2d4a98680daC6aA55120f5AF2EC562EbD,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638062583
0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638060228
0x3a0c5583d5AbADEcD7bb043709c4b1aED89267D6,2,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638059908
0xbd5361A94c803D26240A6B5586710ab48ed1d9Dd,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638052852
0x32F41B50f8d569f22DFFeDc0F17210fb49350784,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638052716
0x1Ec289BD5F002B7969887b8E18a1625052a67D0d,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638049339
0xcfF7303b8E08403438c751bF21c04771252fA413,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638046739
0xcfF7303b8E08403438c751bF21c04771252fA413,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638046593
0x037dFD569DeFBC08aE28001159b4c49f6d006cfF,4,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638044816
0x037dFD569DeFBC08aE28001159b4c49f6d006cfF,3,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638044747
0x3e0cf03f718520F30300266dcF4DB50bA12d3331,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638043979
0xab4382aAdae5bF4b37B90b9dc07FC72D52e2a28A,2,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638041422
0xB6C9e6A2415aB8d26335498BEAc8eeBED4BB2259,1,{'id': '0xf3bc0cdfda038d07e93dd7aad7c572c760efd7b2661f13dfd4071dfec9ed855c'},1638040610
0xB6C9e6A2415aB8d26335498BEAc8eeBED4BB2259,1,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638040445
0x7ccf173012bfE53F16F4D6A2a4aea32abAfcD04C,2,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638040362
0x91B26b4B49525fDFfff2B099190149a52A36c3cA,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638040328
0x66d0E180af64fb368679F91765Affc99174396AC,5,{'id': '0xbfcf540258ab36f63f37fe2021d065b7a0ea97b30376cbba9783db6d267685f0'},1638040188
